ClientCode,OrderNumber,Label,Enabled,Region,GoogleRef,DefaultLCID,Ville
_TS_CO_etab_75996,9,Agence HERBLAY ,True,_TS_CO_Department_ValdOise95,95306,1036,HERBLAY SUR SEINE
_TS_CO_etab_21054,961,Agence HERICOURT ,True,_TS_CO_Department_HauteSane70,70285,1036,HERICOURT
_TS_CO_etab_59007,962,Agence HIRSON ,True,_TS_CO_Department_Aisne02,2381,1036,HIRSON
_TS_CO_etab_34366,19,Agence HYERES ,True,_TS_CO_Department_Var83,83069,1036,HYERES
_TS_CO_etab_84139,6,Agence ISSOIRE ,True,_TS_CO_Department_PuydeDme63,63178,1036,ISSOIRE
_TS_CO_etab_35117,964,Agence ISSOUDUN ,True,_TS_CO_Department_Indre36,36088,1036,ISSOUDUN
_TS_CO_etab_75516,10,Agence ISSY LES MOULINEAUX ,True,_TS_CO_Department_HautsdeSeine92,92040,1036,ISSY LES MOULINEAUX
_TS_CO_etab_75812,8,Agence IVRY SUR SEINE ,True,_TS_CO_Department_ValdeMarne94,94041,1036,IVRY SUR SEINE
_TS_CO_etab_66128,67,Agence JARRY ,True,_TS_CO_Department_Guadeloupe971,97103,1036,BAIE MAHAULT
_TS_CO_etab_21005,969,Agence JOIGNY ,True,_TS_CO_Department_Yonne89,89206,1036,JOIGNY
_TS_CO_etab_33061,1,Agence JONZAC ,True,_TS_CO_Department_CharenteMaritime17,17197,1036,JONZAC
_TS_CO_etab_35243,972,Agence JOUE LES TOURS ,True,_TS_CO_Department_IndreetLoire37,37122,1036,JOUE LES TOURS
_TS_CO_etab_75402,973,Agence JUVISY SUR ORGE ,True,_TS_CO_Department_Essonne91,91326,1036,JUVISY SUR ORGE
_TS_CO_etab_69114,4,Agence KOUROU ,True,_TS_CO_Department_Guyane973,97304,1036,KOUROU
_TS_CO_etab_65129,976,Agence L ILE ROUSSE ,True,_TS_CO_Department_HauteCorse2b,2B134,1036,L ILE ROUSSE
_TS_CO_etab_76033,979,Agence L ISLE JOURDAIN ,True,_TS_CO_Department_Gers32,32160,1036,L ISLE JOURDAIN
_TS_CO_etab_13893,243,Agence LA BAULE GUERANDE ,True,_TS_CO_Department_LoireAtlantique44,44055,1036,LA BAULE ESCOUBLAC
_TS_CO_etab_34372,12,Agence LA CIOTAT ,True,_TS_CO_Department_BouchesduRhne13,13028,1036,LA CIOTAT
_TS_CO_etab_84091,982,Agence LA COTE ST ANDRE ,True,_TS_CO_Department_Isre38,38130,1036,LA COTE ST ANDRE
_TS_CO_etab_75718,8,Agence LA COURNEUVE ,True,_TS_CO_Department_SeineSaintDenis93,93027,1036,LA COURNEUVE
_TS_CO_etab_13927,985,Agence LA FERTE BERNARD ,True,_TS_CO_Department_Sarthe72,72132,1036,LA FERTE BERNARD
_TS_CO_etab_75440,8,Agence LA FERTE SOUS JOUARRE ,True,_TS_CO_Department_SeineetMarne77,77183,1036,LA FERTE SOUS JOUARRE
_TS_CO_etab_13899,987,Agence LA FLECHE ,True,_TS_CO_Department_Sarthe72,72154,1036,LA FLECHE
_TS_CO_etab_59083,990,Agence LA MADELEINE ,True,_TS_CO_Department_Nord59,59368,1036,LA MADELEINE
_TS_CO_etab_68148,17,Agence LA POSSESSION ,True,_TS_CO_Department_Runion974,97408,1036,LA POSSESSION
_TS_CO_etab_68155,993,Agence LA RIVIERE ,True,_TS_CO_Department_HautRhin68,97414,1036,ST LOUIS
_TS_CO_etab_13849,994,Agence LA ROCHE ACTISUD ,True,_TS_CO_Department_Vende85,85191,1036,LA ROCHE SUR YON
_TS_CO_etab_13859,997,Agence LA ROCHE Nord ,True,_TS_CO_Department_Vende85,85191,1036,LA ROCHE SUR YON
_TS_CO_etab_33243,3,Agence LA ROCHELLE BEL AIR ,True,_TS_CO_Department_CharenteMaritime17,17300,1036,LA ROCHELLE
_TS_CO_etab_33073,4,Agence LA ROCHELLE LAGORD ,True,_TS_CO_Department_CharenteMaritime17,17200,1036,LAGORD
_TS_CO_etab_33070,5,Agence LA ROCHELLE VILLENEUVE ,True,_TS_CO_Department_CharenteMaritime17,17300,1036,LA ROCHELLE
_TS_CO_etab_34364,20,Agence LA SEYNE SUR MER ,True,_TS_CO_Department_Var83,83126,1036,LA SEYNE SUR MER
_TS_CO_etab_33041,10,Agence LA TESTE ,True,_TS_CO_Department_Gironde33,33529,1036,LA TESTE DE BUCH
_TS_CO_etab_84023,1000,Agence LA TOUR DU PIN ,True,_TS_CO_Department_Isre38,38509,1036,LA TOUR DU PIN
_TS_CO_etab_76023,4,Agence LABEGE ,True,_TS_CO_Department_HauteGaronne31,31254,1036,LABEGE
_TS_CO_etab_75441,9,Agence LAGNY ,True,_TS_CO_Department_SeineetMarne77,77243,1036,LAGNY SUR MARNE
_TS_CO_etab_27192,1005,Agence LAMBALLE ,True,_TS_CO_Department_CtesdArmor22,22093,1036,LAMBALLE ARMOR
_TS_CO_etab_27188,1008,Agence LANDERNEAU ,True,_TS_CO_Department_Finistre29,29103,1036,LANDERNEAU
_TS_CO_etab_27202,1009,Agence LANESTER ,True,_TS_CO_Department_Morbihan56,56098,1036,LANESTER
_TS_CO_etab_33018,11,Agence LANGON ,True,_TS_CO_Department_Gironde33,33227,1036,LANGON
_TS_CO_etab_54060,1012,Agence LANGRES ,True,_TS_CO_Department_HauteMarne52,52269,1036,LANGRES
_TS_CO_etab_76218,2,Agence LANNEMEZAN ,True,_TS_CO_Department_HautesPyrnes65,65258,1036,LANNEMEZAN
_TS_CO_etab_27186,1016,Agence LANNION ,True,_TS_CO_Department_CtesdArmor22,22113,1036,LANNION
_TS_CO_etab_59034,1018,Agence LAON ,True,_TS_CO_Department_Aisne02,2408,1036,LAON
_TS_CO_etab_13906,1019,Agence LAVAL FERRIE ,True,_TS_CO_Department_Mayenne53,53130,1036,LAVAL
_TS_CO_etab_13923,1020,Agence LAVAL ST NICOLAS ,True,_TS_CO_Department_Mayenne53,53130,1036,LAVAL
_TS_CO_etab_76021,1021,Agence LAVELANET ,True,_TS_CO_Department_Arige09,9160,1036,LAVELANET
_TS_CO_etab_75956,9,Agence LE BLANC MESNIL ,True,_TS_CO_Department_SeineSaintDenis93,93007,1036,LE BLANC MESNIL
_TS_CO_etab_34357,22,Agence LE CANNET VAR ,True,_TS_CO_Department_Var83,83031,1036,LE CANNET DES MAURES
_TS_CO_etab_59088,1026,Agence LE CATEAU ,True,_TS_CO_Department_Nord59,59136,1036,LE CATEAU CAMBRESIS
_TS_CO_etab_21020,1027,Agence LE CREUSOT ,True,_TS_CO_Department_Saneetloire71,71153,1036,LE CREUSOT
_TS_CO_etab_67136,2,Agence LE FRANCOIS ,True,_TS_CO_Department_Martinique972,97210,1036,LE FRANCOIS
_TS_CO_etab_28009,1031,Agence LE HAVRE COLBERT ,True,_TS_CO_Department_SeineMaritime76,76351,1036,LE HAVRE
_TS_CO_etab_28014,1032,Agence LE HAVRE FERRER ,True,_TS_CO_Department_SeineMaritime76,76351,1036,LE HAVRE
_TS_CO_etab_28001,1034,Agence LE HAVRE SOUDAY ,True,_TS_CO_Department_SeineMaritime76,76351,1036,LE HAVRE
_TS_CO_etab_28021,1035,Agence LE HAVRE VILLE HAUTE ,True,_TS_CO_Department_SeineMaritime76,76351,1036,LE HAVRE
_TS_CO_etab_67140,3,Agence LE LAMENTIN ,True,_TS_CO_Department_Martinique972,97213,1036,LE LAMENTIN
_TS_CO_etab_13909,1037,Agence LE MANS GARE ,True,_TS_CO_Department_Sarthe72,72181,1036,LE MANS
_TS_CO_etab_13928,1038,Agence LE MANS Ouest ,True,_TS_CO_Department_Sarthe72,72181,1036,LE MANS
_TS_CO_etab_13918,1039,Agence LE MANS SABLONS ,True,_TS_CO_Department_Sarthe72,72181,1036,LE MANS
_TS_CO_etab_67133,4,Agence LE MARIN ,True,_TS_CO_Department_Martinique972,97217,1036,LE MARIN
_TS_CO_etab_34022,21,Agence LE PONTET ,True,_TS_CO_Department_Vaucluse84,84092,1036,LE PONTET
_TS_CO_etab_68113,27,Agence LE PORT ,True,_TS_CO_Department_Runion974,97407,1036,LE PORT
_TS_CO_etab_84123,1042,Agence LE PUY ,True,_TS_CO_Department_HauteLoire43,43157,1036,LE PUY EN VELAY
_TS_CO_etab_59105,1045,Agence LE QUESNOY ,True,_TS_CO_Department_Nord59,59481,1036,LE QUESNOY
_TS_CO_etab_28026,1046,Agence LE TREPORT ,True,_TS_CO_Department_SeineMaritime76,76711,1036,LE TREPORT
_TS_CO_etab_76065,1049,Agence LE VIGAN ,True,_TS_CO_Department_Gard30,30350,1036,LE VIGAN
_TS_CO_etab_33101,1050,Agence LECLERC ,True,_TS_CO_Department_HauteVienne87,87085,1036,LIMOGES
_TS_CO_etab_59119,1053,Agence LENS GARE ,True,_TS_CO_Department_PasdeCalais62,62498,1036,LENS
_TS_CO_etab_59238,1054,Agence LENS LALOUX ,True,_TS_CO_Department_PasdeCalais62,62498,1036,LENS
_TS_CO_etab_13907,1057,Agence LES HERBIERS ,True,_TS_CO_Department_Vende85,85109,1036,LES HERBIERS
_TS_CO_etab_75821,4,Agence LES MUREAUX ,True,_TS_CO_Department_Yvelines78,78440,1036,LES MUREAUX
_TS_CO_etab_13902,1061,Agence LES SABLES D'OLONNE ,True,_TS_CO_Department_Vende85,85194,1036,LES SABLES D OLONNE
_TS_CO_etab_75407,1062,Agence LES ULIS ,True,_TS_CO_Department_Essonne91,91692,1036,LES ULIS
_TS_CO_etab_75670,11,Agence LEVALLOIS PERRET ,True,_TS_CO_Department_HautsdeSeine92,92044,1036,LEVALLOIS PERRET
_TS_CO_etab_76063,3,Agence LEZIGNAN ,True,_TS_CO_Department_Aude11,11203,1036,LEZIGNAN CORBIERES
_TS_CO_etab_75992,9,Agence L'HAY LES ROSES ,True,_TS_CO_Department_ValdeMarne94,94038,1036,L HAY LES ROSES
_TS_CO_etab_33049,14,Agence LIBOURNE ,True,_TS_CO_Department_Gironde33,33243,1036,LIBOURNE
_TS_CO_etab_59239,1073,Agence LIEVIN ,True,_TS_CO_Department_PasdeCalais62,62510,1036,LIEVIN
_TS_CO_etab_59107,1076,Agence LILLE GRAND Sud ,True,_TS_CO_Department_Nord59,59350,1036,LILLE
_TS_CO_etab_59037,1077,Agence LILLE PORT FLUVIAL ,True,_TS_CO_Department_Nord59,59350,1036,LILLE
_TS_CO_etab_59050,1079,Agence LILLE REPUBLIQUE ,True,_TS_CO_Department_Nord59,59350,1036,LILLE
_TS_CO_etab_59120,1080,Agence LILLE VAUCANSON ,True,_TS_CO_Department_Nord59,59350,1036,LILLE
_TS_CO_etab_28025,1081,Agence LILLEBONNE ,True,_TS_CO_Department_SeineMaritime76,76384,1036,LILLEBONNE
_TS_CO_etab_59098,1084,Agence LILLERS ,True,_TS_CO_Department_PasdeCalais62,62516,1036,LILLERS
_TS_CO_etab_33093,1085,Agence LIMOGES JOURDAN ,True,_TS_CO_Department_HauteVienne87,87085,1036,LIMOGES
