SIRET,Enseigne,Commune étab.,Existe déjà sur le refeEngagemet,source dans le refeEngagement,Action dev à faire sur ReferentielEngagementEntreprise
82023279100047,ADAPEI 58 SAS,VARENNES VAUZELLES,82023279100047,"[""france-travail""]",Rien à faire 
77564828000649,ADAPEI 69,LYON,77564828000649,"[""lba"",""france-travail""]",Rien à faire 
78145678500265,ADAPEI 79,NIORT,78145678500265,"[""france-travail""]",Rien à faire 
77571510501032,ADAPEI ARIA VENDEE,MOUILLERON LE CAPTIF,77571510501032,"[""france-travail""]",Rien à faire 
77561659200272,ADAPEI DE LA MEUSE,BAR LE DUC,77561659200272,"[""france-travail""]",Rien à faire 
77565238100838,ADAPEI DE LA SARTHE,LA FERTE BERNARD,77565238100838,"[""france-travail""]",Rien à faire 
77565238100721,ADAPEI DE LA SARTHE,LE MANS,77565238100721,"[""france-travail""]",Rien à faire 
77565238100663,ADAPEI DE LA SARTHE,LE MANS,77565238100663,"[""france-travail""]",Rien à faire 
77565238100952,ADAPEI DE LA SARTHE,LE MANS,77565238100952,"[""france-travail""]",Rien à faire 
77565238100853,ADAPEI DE LA SARTHE,MONTVAL SUR LOIR,77565238100853,"[""france-travail""]",Rien à faire 
77565238101083,ADAPEI DE LA SARTHE,LA FLECHE,77565238101083,"[""france-travail""]",Rien à faire 
77565238100788,ADAPEI DE LA SARTHE,LA FLECHE,77565238100788,"[""france-travail""]",Rien à faire 
77565238100762,ADAPEI DE LA SARTHE,SILLE LE GUILLAUME,77565238100762,"[""france-travail""]",Rien à faire 
77565238100770,ADAPEI DE LA SARTHE,BALLON ST MARS,77565238100770,"[""france-travail""]",Rien à faire 
77565238100812,ADAPEI DE LA SARTHE,COULAINES,77565238100812,"[""france-travail""]",Rien à faire 
77565238100929,ADAPEI DE LA SARTHE,LE MANS,77565238100929,"[""france-travail""]",Rien à faire 
77565238100846,ADAPEI DE LA SARTHE,BALLON ST MARS,77565238100846,"[""france-travail""]",Rien à faire 
77565238100739,ADAPEI DE LA SARTHE,MONTVAL SUR LOIR,77565238100739,"[""france-travail""]",Rien à faire 
77565238100937,ADAPEI DE LA SARTHE,LE BAILLEUL,77565238100937,"[""france-travail""]",Rien à faire 
77565238101000,ADAPEI DE LA SARTHE,LE MANS,77565238101000,"[""france-travail""]",Rien à faire 
77565238100861,ADAPEI DE LA SARTHE,ALLONNES,77565238100861,"[""france-travail""]",Rien à faire 
77565238100911,ADAPEI DE LA SARTHE,YVRE L EVEQUE,77565238100911,"[""france-travail""]",Rien à faire 
77565238100283,ADAPEI DE LA SARTHE,LE MANS,77565238100283,"[""france-travail""]",Rien à faire 
77565238100630,ADAPEI DE LA SARTHE,LE MANS,77565238100630,"[""france-travail""]",Rien à faire 
77565238100986,ADAPEI DE LA SARTHE,LE MANS,77565238100986,"[""france-travail""]",Rien à faire 
77563435500702,ADAPEI DU PUY DE DOME,ST ELOY LES MINES,77563435500702,"[""france-travail""]",Rien à faire 
77564828000532,ADAPEI DU RHONE,THIZY LES BOURGS,77564828000532,"[""france-travail""]",Rien à faire 
31398809900237,ADAPEI ESAT JEAN RAVOTEUR,LE MORNE ROUGE,31398809900237,"[""france-travail""]",Rien à faire 
77560248500721,ADAPEI Espaces Verts Services,RIORGES,77560248500721,"[""france-travail""]",Rien à faire 
77510094400302,ADAPEI LES PAPILLONS BLANCS,LA FERTE VIDAME,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
77510094400476,ADAPEI LES PAPILLONS BLANCS,CHARTRES,77510094400476,"[""france-travail""]",Rien à faire 
77564261400314,ADAPEI PAPILLONS BLANCS Siège,BRUNSTATT DIDENHEIM,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
79174781900476,ADAPEI SERVICES,BESANCON,79174781900476,"[""france-travail""]",Rien à faire 
77556888400925,ADAPEI-NOUELLES COTES D'ARMOR,LANGUEUX,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
77556888401147,ADAPEI-NOUELLES COTES D'ARMOR,ST BRIEUC,77556888401147,"[""france-travail""]",Rien à faire 
77556888401162,ADAPEI-NOUELLES COTES D'ARMOR,PLOUFRAGAN,77556888401162,"[""france-travail""]",Rien à faire 
77556888401154,ADAPEI-NOUELLES COTES D'ARMOR,ST BRIEUC,77556888401154,"[""france-travail""]",Rien à faire 
77556664900254,ADAPEIC,MALEMORT,77556664900254,"[""france-travail""]",Rien à faire 
77556664900205,ADAPEIC,MALEMORT,77556664900205,"[""france-travail""]",Rien à faire 
77560540500809,ADAPEILA,ANCENIS ST GEREON,77560540500809,"[""france-travail""]",Rien à faire 
77560540501450,ADAPEILA,ARTHON EN RETZ,77560540501450,"[""france-travail""]",Rien à faire 
77560540501476,ADAPEILA,ST JULIEN DE CONCELLES,77560540501476,"[""france-travail""]",Rien à faire 
77560540500593,ADAPEILA,NANTES,77560540500593,"[""france-travail""]",Rien à faire 
77561659200017,ADAPEIM SIEGE SOCIAL,VASSINCOURT,77561659200017,"[""france-travail""]",Rien à faire 
91248456500029,ADAPT-HORIZONS,SALES,91248456500029,"[""france-travail""]",Rien à faire 
34138654800034,ADAR,DOURGNE,34138654800034,"[""france-travail""]",Rien à faire 
31716743500021,ADAR SAMBRE AVESNOIS,FOURMIES,31716743500021,"[""france-travail""]",Rien à faire 
84404904900019,ADASMS LES RIVES DERVOISES,RIVES DERVOISES,84404904900019,"[""france-travail""]",Rien à faire 
78344114000143,ADAVIE,VILLERS LES NANCY,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
39184853800081,ADC,ERGUE GABERIC,39184853800081,"[""france-travail""]",Rien à faire 
35238385500033,ADC,ST CYR SUR LOIRE,35238385500033,"[""france-travail""]",Rien à faire 
40034038600020,ADEC,SCHOELCHER,40034038600020,"[""france-travail""]",Rien à faire 
77566144001060,ADEF HABITAT,IVRY SUR SEINE,77566144001060,"[""france-travail""]",Rien à faire 
32364952500256,ADEF RESIDENCES,IVRY SUR SEINE,32364952500256,"[""france-travail""]",Rien à faire 
32893366800043,ADEFPAT,ALBI,32893366800043,"[""france-travail""]",Rien à faire 
45205597300021,ADEKMA LEVAGE,LE MANS,45205597300021,"[""france-travail""]",Rien à faire 
44157112200031,ADEL EURL,ST MARTIN LACAUSSADE,44157112200031,"[""france-travail""]",Rien à faire 
80952855700022,ADELIE,EVRON,80952855700022,"[""france-travail""]",Rien à faire 
47831728200026,ADEQUAT GESTION,LYON,47831728200026,"[""france-travail""]",Rien à faire 
52220617600045,ADERE,AUBIERE,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
38117860700044,ADGAP,LE RELECQ KERHUON,38117860700044,"[""france-travail""]",Rien à faire 
8548006901136,ADIDAS,PARIS,8548006901136,"[""france-travail""]",Rien à faire 
51534225100037,ADIPH 47,BOE,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
47964754700021,ADIS,PETIT CANAL,47964754700021,"[""france-travail""]",Rien à faire 
38503726200024,ADIS PAYSAGES,MALINTRAT,38503726200024,"[""france-travail""]",Rien à faire 
38260122700020,ADIS PHARMA,CEBAZAT,38260122700020,"[""france-travail""]",Rien à faire 
51219272500053,ADIS SOUS TRAITANCE,GERZAT,51219272500053,"[""france-travail""]",Rien à faire 
51219272500012,ADIS SOUS TRAITANCE,CLERMONT FERRAND,51219272500012,"[""france-travail""]",Rien à faire 
31581466500032,ADMR CITES REFERENCE SERVICE A LA PERSON,CHALONS EN CHAMPAGNE,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
77723545800034,ADMR DE LESCURE D ALBIGEOIS,LESCURE D ALBIGEOIS,77723545800034,"[""france-travail""]",Rien à faire 
38834372500023,ADMR DES PORTES D ANGERS,VERRIERES EN ANJOU,38834372500023,"[""france-travail""]",Rien à faire 
30276710800111,ADMR FEDERATION,LA CHAPELLE ST LUC,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
39798445100021,ADMR LES 3 UNIONS REFERENCE SERVICE A LA,VITRY LE FRANCOIS,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
32248104500019,ADMR LES BERGES DU TARN,MARSSAC SUR TARN,32248104500019,"[""france-travail""]",Rien à faire 
30375418800025,ADMR SAINT PARDOUX LEVIGNAC,ST PARDOUX ISAAC,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
77556255600362,ADSEA 15 - ENTREPRISE ADAPTEE,ST CERNIN,77556255600362,"[""france-travail""]",Rien à faire 
77565451000210,ADTP,ANNECY,77565451000210,"[""france-travail""]",Rien à faire 
77565451000061,ADTP,ANNECY,77565451000061,"[""france-travail""]",Rien à faire 
77561559400675,ADULTES ENFANTS INADAPTES MENTAUX,HEILLECOURT,77561559400675,"[""france-travail""]",Rien à faire 
45042540000014,AE NET SERVICES,SCHOELCHER,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
79025708300044,AEC ENERGY SERVICES,ALES,79025708300044,"[""france-travail""]",Rien à faire 
49499934500015,AERO ASSISTANCE,LE LAMENTIN,49499934500015,"[""france-travail""]",Rien à faire 
55201662800059,AEROPORT D'ORLY,ORLY,55201662800059,"[""france-travail""]",Rien à faire 
53992624600098,AFB SHOP,LYON,53992624600098,"[""france-travail""]",Rien à faire 
53992624600106,AFB SHOP,NANTES,53992624600106,"[""france-travail""]",Rien à faire 
53992624600080,AFB SHOP,FEGERSHEIM,53992624600080,"[""france-travail""]",Rien à faire 
53992624600049,AFB SHOP,ST MARTIN LE VINOUX,53992624600049,"[""france-travail""]",Rien à faire 
53992624600056,AFB SHOP,CAEN,53992624600056,"[""france-travail""]",Rien à faire 
53992624600072,AFB SHOP,NANTES,53992624600072,"[""france-travail""]",Rien à faire 
30664220800061,AFEIPH ENTREPRISE ADAPTEE,FUMAY,30664220800061,"[""france-travail""]",Rien à faire 
30457621801303,AFEJI HAUTS DE FRANCE,LILLE,30457621801303,"[""france-travail""]",Rien à faire 
30457621801410,AFEJI HAUTS DE FRANCE,LE QUESNOY,30457621801410,"[""france-travail""]",Rien à faire 
30457621801089,AFEJI HAUTS DE FRANCE,GRANDE SYNTHE,30457621801089,"[""france-travail""]",Rien à faire 
82436343600075,AFPA ACCES A L' EMPLOI,ALBI,82436343600075,"[""france-travail""]",Rien à faire 
77569201500396,AFT,LONGVIC,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
13000548127013,AFT AERO-MIN,CHEVILLY LARUE,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
13000548117857,AFT ANGERS BALZAC,ANGERS,13000548117857,"[""france-travail""]",Rien à faire 
13000548122766,AFT ANGERS EUROPE,ANGERS,13000548122766,"[""france-travail""]",Rien à faire 
13000548125066,AFT ANGERS ROSERAIE,ANGERS,13000548125066,"[""france-travail""]",Rien à faire 
13000548120638,AFT ANGOULEME LA COURONNE,LA COURONNE,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
13000548115661,AFT ARC LES GRAY,ARC LES GRAY,13000548115661,"[""france-travail""]",Rien à faire 
13000548107650,AFT ARCUEIL CACHAN,CACHAN,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
13000548119283,AFT AUDINCOURT,AUDINCOURT,13000548119283,"[""france-travail""]",Rien à faire 
13000548124093,AFT AVALLON-TONNERRE,AVALLON,13000548124093,"[""france-travail""]",Rien à faire 
13000548123814,AFT BERCK,BERCK,13000548123814,"[""france-travail""]",Rien à faire 
13000548123384,AFT BOBIGNY,BOBIGNY,13000548123384,"[""france-travail""]",Rien à faire 
13000548105506,AFT BRIEY,VAL DE BRIEY,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
13000548127104,AFT CACHAN,CACHAN,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
13000548121123,AFT CASTELGINEST,CASTELGINEST,13000548121123,"[""france-travail""]",Rien à faire 
13000548118921,AFT CASTELSARRASIN,CASTELSARRASIN,13000548118921,"[""france-travail""]",Rien à faire 
13000548125744,AFT CASTRES,CASTRES,13000548125744,"[""france-travail""]",Rien à faire 
13000548120539,AFT CHAMPIGNY SUR MARNE,CHAMPIGNY SUR MARNE,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
13000548120406,AFT CHATEAU GONTIER,CHATEAU GONTIER SUR MAYENNE,13000548120406,"[""france-travail""]",Rien à faire 
13000548106470,AFT CHATEAUDUN,CHATEAUDUN,#N/D,#N/D,"Ajouter le SIRET avec le champ Engagement à ""handicap"" et source à ""France-travail"""
